Título,Descrição,Tipo da Vaga,Habilidades Necessárias,Site
10645 -EngenheirodeDados,Descrição: Que tal trabalhar comoEngenheirodeDadosem uma das maiores administradoras de benefícios,Não informado,Não informado,Engenheiro de Dados
EngenheirodeDadosSr,Microsoft;• Desenvolvimento em sql; phyton e/ou spark de notebooks;• Conhecimento de Engenharia deDadosexperiência com Data Lake serão considerados como diferenciais;Resumo das atribuições do cargo: • Ingestão dedadospara datalake;• Entregardadospara consumo nos projetos;• Desenvolvimento em sql;Pacote de Benefícios,Não informado,Não informado,Engenheiro de Dados
Analista deEngenhariadeDadosJr,"pessoas.Criar soluções em Dashboards, explorando técnicas atuais para análise de grandes volumes dedadoPrincipais atividades: • Auxiliar no desenvolvimento e manutenção de pipelines dedadose bancos dedadospara garantir continuidade operacional.• Contribuir para a implementação de práticas de governança dedados, conseguindo integrar com...",Não informado,Não informado,Engenheiro de Dados
Analista deEngenhariadeDadosII,e Escalabilidade: Desenvolver pipelines dedadosautomatizados.• Documentação e Conhecimento: Documentar processos e sistemas.• Governança e Qualidade deDados: Implementar práticas de governança dedados. • Colaboração Interdisciplinar: Colaborar com equipes de ciência dedadospara entender requisitos.• Avaliar e incorporar novas tecnologias...,Não informado,Não informado,Engenheiro de Dados
CoodenadorEngenhariadeDadose Plataforma,"Descrição: Responsável por liderar a estrutura deDados& Analytics, coordenando atividades diárias, soluções analíticas, gerindo equipes de BI, desenvolvendo dashboards e relatórios, ETL e pipeline dedados, modelador dimensional, multi dimensional no tema de governança dedadoscom o objetivo de promover a cultura dedadosna instituição.Ou...",Não informado,Não informado,Engenheiro de Dados
"Bolsista Graduado [ti,Engenhariada Computação, Análise deDados] Indorama","Título: TECH 1 - Graduado• Formação: Tecnologia da informação, Engenharia da computação, Análise dedadose áreas correlatas.Atividades:• Avaliar alternativas de ferramentas de ciência dedadose sistemas de organizacionais;• Construir e implementar indicadores de gestão de portfólio de projetos;• Estruturar bases dedadosações que poderiam ser tomadas pe...",Não informado,Não informado,Engenheiro de Dados
"Bolsista Mestre [ciência deDados,Engenhariada Computação, Ti, Correlatas] Thyssenkrupp","inovação ThyssenKrupp em parceria com IEL | IPT.Pré-requisitos:• Formação: Mestrado;• Cursos: Ciência deDadosdesenvolvimento dos ""cubos"";• Análises de hipóteses e testes;• Desenvolvimento dos dashboards;• Validação dosdados",Não informado,Não informado,Engenheiro de Dados
Engenheiro/EngenheiraConfiabil Integridade Sr,"fiscalização para as inspeções em serviço e testes programados, a avaliação da condição a partir dedados",Não informado,Não informado,Engenheiro de Dados
Estágio emEngenharia,"Descrição: Auxiliar no acompanhamento dosdadosde Produção, de estoque de materiais, de geração e venda de sucata e produtos não-conforme, consolidando e padronizandodadose comunicação entre áreas, para",Não informado,Não informado,Engenheiro de Dados
EngenheiroMecânico Jr.,"enviados aos fornecedores.Oferecer suporte técnico aos projetistas e desenhistas na interpretação dedadositens específicos.Desenvolver projetos e elaborar documentação técnica de engenharia, como folhas dedados",Não informado,Não informado,Engenheiro de Dados
025554 -EngenheiroAmbiental Pleno,"ar, projetos de gestão de áreas contaminadas e passivos ambientais;Responsável pelo gerenciamento dedadosde monitoramento ambientais da unidade (organização, tabulação do banco dedados) e, elaboração de Relatório",Não informado,Não informado,Engenheiro de Dados
Engenheirode Processos Pleno,"elaborando estudos que comprovem a positiva efetivação do mesmo;•Elaborar relatórios técnicos coletandodadosguarda, zelando pela preservação do patrimônio da Empresa e confidencialidade em relação aos projetos edados",Não informado,Não informado,Engenheiro de Dados
Estágio Industrial (Engenharias),"Principais atividades:Auxiliar na elaboração dos documentos internos do setor;Ajustar e atualizardadosde clientes;Quando solicitado, realizar atendimento ao cliente;Prestar suporte em reuniões;Compilardados",Não informado,Não informado,Engenheiro de Dados
Estagiário deEngenharia- Aracaju - SE,Descrição: Requisitos:Atividades a serem exercidas:Apoio técnico aosengenheiros;Revisão de procedimentos ;Emissão de relatórios;Pesquisa dedadostécnicos;Análise de normas e padrões.Escolaridade:Cursando Engenharia,Não informado,Não informado,Engenheiro de Dados
EstagiárioEngenhariaQuímica,"Analisardados, gerenciamento de alarmes e participação em auditorias.",Não informado,Não informado,Engenheiro de Dados
Engenheirode Segurança do Trabalho Pleno,programação e o plano de auditoria para a liderança da obra;Ser responsável por construir uma única base dedadospara os indicadores de todas as contratadas;Ser responsável por construir uma única base dedadosde legislação aplicáveis e atendidas pelas contratadas;Ser responsável por construir uma única base dedadosde risco da obra e de atividades real...,Não informado,Não informado,Engenheiro de Dados
EstagiarioEngenhariaAmbiental,- Auxiliar na elaboração de projetos de engenharia ambiental;- Realizar levantamentos e análises dedados,Não informado,Não informado,Engenheiro de Dados
Especialista emEngenharia- Tubulações,".- Realizar alinhamento com o cliente interno, no levantamento dedados, elaboração de escopo e planos",Não informado,Não informado,Engenheiro de Dados
EstagiarioEngenhariaCivil,"dosprocedimentos, normas e políticas para a sua área de atuação;Auxiliar em levantamentos internos, buscandodados",Não informado,Não informado,Engenheiro de Dados
Analista deEngenhariado Produto Pleno,"SolidWorks, CATIA ou CREO;Domínio do Pacote Office para elaboração de relatórios e apresentação dedados",Não informado,Não informado,Engenheiro de Dados
Analista deEngenhariaClínica Junior,participaram de processos seletivos na Instituição há menos de 06 (seis) meses não serão contemplados;•Osdados,Não informado,Não informado,Engenheiro de Dados
Engenheiro(a) de Segurança do Trabalho Sr,contribuindo para a preservação do patrimônio do COFCO e confidencialidade em relação aos projetos edados,Não informado,Não informado,Engenheiro de Dados
Estágio Nível Superior (Engenharia),"Atuará diretamente no acompanhamento de processos, análise dedadose suporte técnico nas operações da",Não informado,Não informado,Engenheiro de Dados
Especialista emEngenharia- Projeto Civil,"de reuniões com a equipe do projeto.Realizar alinhamento com o cliente interno, no levantamento dedados",Não informado,Não informado,Engenheiro de Dados
EstagiárioEngenhariaElétrica Ou Eletrônica,desafiador.Responsabilidades:- Auxiliar na elaboração de projetos elétricos;- Realizar análises dedados,Não informado,Não informado,Engenheiro de Dados
Programa de Estágio Mulheres naEngenharia,"uma organização líder mundial em design, engenharia e gerenciamento de projetos que conecta pessoas,dados",Não informado,Não informado,Engenheiro de Dados
EngenheiroServiços Técnicos de Campo,"de manuais, atuando como facilitador na execução de serviços pertinentes a função;Coletar e analisardados",Não informado,Não informado,Engenheiro de Dados
Analista de ProcessosEngenhariade Manufatura,"até sua vida série;•	Avaliar processos, fazer medições e interpretar, criticamente, com metodologia,dados",Não informado,Não informado,Engenheiro de Dados
Estágio em Administração de Empresas OuEngenhariade Produção,"Descrição: Envio de pesquisas de satisfação para os alunos (separar disciplinas, solicitar bases com osdadosde envio, programar envios); Coleta dosdadose confecção de relatórios.Idiomas:Inglês - Nível BásicoOutros requisitos: - Principais fórmulas no Excel (se, procv, cont.se), tabelas dinâmicas e segmentação dedadosescrita;- Ética profissional e com...",Não informado,Não informado,Engenheiro de Dados
Estagiário(a) emEngenhariaCivil - Departamento de Geotecnia,"Descrição: Atividades:Apoiar na elaboração de planilhas, levantamento dedadosde projeto, compilação dedadosde ensaios.Apoiar na elaboração de desenhos, análise de estabilidade, entre outros, sob a orientação de umEngenheiroSr.Auxiliar a equipe de Engenharia na montagem de memoriais de cálculo e verificação.Apoiar",Não informado,Não informado,Engenheiro de Dados
Estágio emEngenhariaCivil - Ge Aerospace,acompanhamento e controle do procedimento interno de gerenciamento de mudanças;Executar levantamento dedadossolicitações pertinentes ao programa de gerenciamento de mudanças; Auxiliar na busca e levantamento dedados,Não informado,Não informado,Engenheiro de Dados
