<<<<<<< Updated upstream
Nome da Vaga;Nome da Empresa;Nível de Experiência;Data de Publicação;Faixa Salarial;Localização;Modelo Contratual;Benefícios;Descrição do Cargo;Descrição da Empresa
10645 - Engenheiro de Dados;Talent Group;Pleno;Publicada em 09/09/2024;a combinar;São Paulo;Regime CLT;Assistência médica + Assistência odontológica + Auxílio creche + Horário flexível + Programa de treinamentos + Seguro de vida;"Que tal trabalhar como Engenheiro de Dados em uma das maiores administradoras de benefícios do Brasil?  • Atuará na definição e criação de modelos dimensionais (DW e Datamart) ;  • Construção ETL de carga para o DW/Datamart e para o datalake;  • Trabalhar em times multidisciplinares com mindset ágil, desenvolvendo soluções que encantem nossos clientes;  • Enfrentar desafios envolvendo diferentes linguagens e tecnologias;  • Buscar as melhores práticas de mercado, sempre trazendo soluções inovadoras.  • Experiência prática em metodologias ágeis;  • Conhecimento de Python e databricks;  • Conhecimento da plataforma AWS ou Azure  • Conhecimento de bancos estruturados (Oracle, SQL Server, etc );  • Conhecimento de API (Rest / Web Service);  • Conhecer ferramentas de controle de versão, como Git, CVS ou Subversion (Usamos Git);  Contratação: CLT + Benefícios  Superior completo ou Cursando  Atuação no Modelo híbrido na Paulista (3x na semana presencial).  ";Somos uma empresa comprometida com os resultados de nossos clientes e com a satisfação de nossos colaboradores. Nos orgulhamos do fato de contarmos com clientes e colaboradores que confiam em nossos serviços desde a nossa fundação, comprovando que o investimento realizado na construção de relações sólidas e transparência nas atitudes valem a pena.
Engenheiro de Dados Sr;Icatu Seguros;Sênior;Publicada em 31/07/2024;a combinar;Rio de Janeiro;Regime CLT;Assistência médica + Assistência odontológica + Auxílio academia + Auxílio creche + Auxílio farmácia + Café da manhã;"Formação acadêmica: • Nível superior completo em ciências da computação, análise de sistemas ou tecnologia da informação.  Requisitos: • Conhecimento de arquitetura de analytics em nuvem da Microsoft; • Desenvolvimento em sql; phyton e/ou spark de notebooks; • Conhecimento de Engenharia de Dados; • Desejável: Conhecimento de Databricks; • Conhecimento de ferramentas de Big Data e experiência com Data Lake serão considerados como diferenciais;  Resumo das atribuições do cargo: • Ingestão de dados para datalake; • Entregar dados para consumo nos projetos; • Desenvolvimento em sql;   Pacote de Benefícios: • Assistência médica • Assistência odontológica • Vale-alimentação • 13ª cesta no natal • Vale-refeição • Vale-transporte • Auxílio creche ou babá • Convênio Farmácia • Serviço de Assistência Funeral • Seguro de vida • Apoio Pass (Aconselhamento Psicológico, Financeiro, Jurídico e Social) • Seguro Complementar de Acidentes Pessoais • Boas-Vindas aos recém nascidos com um plano de previdência e um presente especial • Vacinação contra Gripe • Previdência privada (Fundo de Pensão e Previd Aberta PGBL/VGBL) • Bônus de curto prazo (PLR) • Auxílio academia – Gympass • Fretado para pontos estratégicos • Café da manhã • Cesta de Natal • Consignado • Convênio com empresas parceiras • Desconto em produtos • Horário flexível • Programa de treinamentos • Espaço de convivência • Restaurante interno  Local de Trabalho • AQWA Corporate - Porto Maravilha - RJ.";A Icatu Seguros é uma das maiores seguradoras do mercado de Previdência, Vida e Capitalização, nós somos especialistas em pessoas e ajudamos a planejar o futuro, proteger o presente e realizar projetos em cada fase da vida.  Aqui nós valorizamos a atitude dos funcionários, pois entendemos que conhecimento técnico se adquire com a prática e por isso, investimos continuamente no crescimento profissional da nossa equipe por meio de programas de treinamento.  Pessoas questionadoras que busquem soluções, tenham disponibilidade para aprender e que ajudem a construir o futuro da companhia são características importantes para uma empresa de oportunidades como a nossa.  Venha fazer parte de um dos segmentos que mais crescem no país e em uma das Melhores Empresas para Trabalhar no Brasil pelo décimo ano consecutivo.
Engenheiro de Dados;A.C.Camargo Cancer Center;Sênior;Publicada em 16/08/2024;a combinar;São Paulo;Regime CLT;Assistência médica + Assistência odontológica + Vale-alimentação + Vale-refeição + Vale-transporte;Você será responsável por:  Extrair informações de várias fontes, como bancos de dados, APIs e arquivos. Garantir que os dados brutos sejam adquiridos de maneira confiável das fontes de dados. Remover dados ausentes, duplicados ou inconsistentes - data mining. Transformar os dados para torná-los adequados para análises e consumidores de dados. Criar esquemas de banco de dados e definir relacionamentos entre tabelas. Garantir que os dados sejam armazenados de forma eficiente. Criar fluxos automatizados para processar, transformar e carregar dados. Usar a nuvem analítica (Azure) e suas funcionalidades para melhorar o processo. Escrever consultas SQL eficientes para recuperar informações específicas. Indexar tabelas para melhorar o desempenho. Criar gráficos, dashboards e relatórios para comunicar insights. Favorecer ferramentas de inteligência de negócios (Power BI). Monitorar pipelines para garantir que estejam funcionando corretamente. Realizar manutenção preventiva e corretiva. Gerenciar projetos e iniciativas e conjunto e individualmente. Executar atividades rotineiras requisitadas ao time. Organizar a priorização das atividades. Favorecer a governança de dados (Purview) Conhecer os aspectos e impactos ambientais significativos, perigos e riscos não aceitáveis da sua área. Atuar na mitigação dos acidentes ambientais e de saúde e segurança. Atuar conforme política de segurança institucional do paciente.    O que você precisa ter:  Educação Superior completa - Engenharia, Tecnologia da Informação, Análise de Sistemas, Ciência da Computação, Vivencia com as atividades.  Sua jornada de trabalho será:  SEG.SEX/220H - 08:00 ás 18:00 / SEX 08:00 ás 17:00  Seu local de trabalho será:  Unidade Liberdade  Quais são os benefícios?  Assistência Médica Assistência Odontológica Previdência Privada Vale-transporte Vale-refeição e Vale-alimentação Day off de aniversário Auxílio Creche Seguro de Vida Gympass Convênio Farmácia.  #vemproACCamargo ;"Você já pensou em trabalhar em uma Instituição que ao longo de 70 anos constrói diariamente um legado importante para a sociedade. Um Cancer Center, além de ter a assistência, o ensino e a pesquisa alinhados, também entende o entorno; estuda e devolve à população, favorecendo a produção e disseminação ativa dos conhecimentos. De onde viemos e para onde vamos fazem parte de uma narrativa que olha nossa essência do cuidar como vocação há 7 décadas. Existimos pelo e para o paciente, que é o centro dos nossos esforços coordenados e integrados e temos o compromisso social de promover e oferecer oportunidades igualitárias de crescimento e desenvolvimento para nossos funcionários. Valorizamos as pessoas, construindo uma cultura acolhedora e de respeito a todos e todas. Seja quem você é aqui! Somos especializados em saúde oncológica. Somos especializados em vida!"
Analista de Engenharia de Dados Jr;Grupo Fleury;Júnior/ Trainee;Publicada em 10/09/2024;a combinar;100% Home Office;Regime CLT;; O Grupo Fleury é uma das maiores e mais respeitadas instituições de medicina e saúde do Brasil. Referência por sua excelência técnica, médica e de atendimento, é também destaque nas melhores práticas ESG.  Além dos serviços de medicina diagnóstica, o Grupo Fleury conta com uma oferta crescente de serviços que buscam responder às necessidades das pessoas, além de gerar sustentabilidade para o sistema de saúde com a melhor utilização dos recursos investidos. Essas soluções refletem o posicionamento estratégico da empresa de ser um ecossistema de saúde integrada, preventiva e híbrida, combinando ofertas físicas e digitais.  Acreditamos que carreira e propósito caminham juntos, e costumamos falar que somos apaixonados pelas pessoas e pelo que fazemos. Isso reflete em nosso dia a dia, por meio de um trabalho que impacta vidas. Faz parte da nossa essência cuidar das pessoas, colocando as colaboradoras, colaboradores, médicas, médicos e clientes sempre no centro.  Se você tem atitude positiva, empatia, adaptabilidade e deseja se desenvolver em um ambiente repleto de profissionais referências no mercado que prezam por respeito, excelência e inovação, abrace a oportunidade de levar saúde e bem-estar para a plena realização das pessoas!  Venha transformar sua paixão em carreira!;
Analista de Engenharia de Dados II;Grupo Fleury;Pleno;Publicada em 30/09/2024;a combinar;100% Home Office;Regime CLT;; O Grupo Fleury é uma das maiores e mais respeitadas instituições de medicina e saúde do Brasil. Referência por sua excelência técnica, médica e de atendimento, é também destaque nas melhores práticas ESG. Além dos serviços de medicina diagnóstica, o Grupo Fleury conta com uma oferta crescente de serviços que buscam responder às necessidades das pessoas, além de gerar sustentabilidade para o sistema de saúde com a melhor utilização dos recursos investidos. Essas soluções refletem o posicionamento estratégico da empresa de ser um ecossistema de saúde integrada, preventiva e híbrida, combinando ofertas físicas e digitais. Acreditamos que carreira e propósito caminham juntos, e costumamos falar que somos apaixonados pelas pessoas e pelo que fazemos. Isso reflete em nosso dia a dia, por meio de um trabalho que impacta vidas. Faz parte da nossa essência cuidar das pessoas, colocando as colaboradoras, colaboradores, médicas, médicos e clientes sempre no centro. Se você tem atitude positiva, empatia, adaptabilidade e deseja se desenvolver em um ambiente repleto de profissionais referências no mercado que prezam por respeito, excelência e inovação, abrace a oportunidade de levar saúde e bem-estar para a plena realização das pessoas! Venha transformar sua paixão em carreira!;
Coodenador Engenharia de Dados e Plataforma;Hospital São Camilo;Supervisão/ Coordenação;Publicada em 24/09/2024;a combinar;São Paulo;Regime CLT;Assistência médica + Assistência odontológica + Vale-alimentação + Vale-refeição;"Responsável por liderar a estrutura de Dados & Analytics, coordenando atividades diárias, sendo ponto de contato com diversas áreas de negócios, desempenhando papéis diversificados, como arquiteto de soluções analíticas, gerindo equipes de BI, desenvolvendo dashboards e relatórios, ETL e pipeline de dados, modelador dimensional, multi dimensional no tema de governança de dados com o objetivo de promover a cultura de dados na instituição. • Conhecimento Banco de Dados(Relacionais e Não Relacionais); • Conhecimento SQL, PL/SQL, ETL/ELT e Modelagem de Dados Dimensional; • Plataforma Power BI; • Fabric Azure; • Desenvolvimento de Dashboards; • Arquitetura Cloud Oracle (OCI), AWS, GCP, Microsoft Azure e Ferramentas; • Conhecimento nas práticas de Data Mesh e o padrão de arquitetura Medallion; • Outros conhecimentos: Python, MySQL, LGPD, Oracle Analytics Cloud, Autonomous DataWarehouse, OCI Data Integration.  Necessário ensino superior completo em Engenharia, Tecnologia da Informação ou áreas afins; Necessário Pós-Graduação completa ou MBA em Tecnologia da Informação ou áreas afins;  Ter disponibilidade para atuar de forma 100% presencial na empresa. ";A Rede de Hospitais São Camilo de São Paulo conta com 3 Unidades de hospital geral (Pompeia, Santana e Ipiranga) que prestam atendimentos em mais de 60 especialidades, cirurgias de alta complexidade, como Oncologia e Transplantes de Medula Óssea.  Os hospitais gerais com atendimentos privados da Rede subsidiam as atividades de cerca de 40 unidades administradas pela São Camilo e que atendem pacientes do SUS (Sistema Único de Saúde) em 15 Estados brasileiros. No Brasil desde 1922, a São Camilo, que pertence à Ordem dos Ministros dos Enfermos, foi fundada por Camilo de Lellis e conta, ainda, com 25 centros de educação, dois colégios e dois centros universitários
Bolsista Graduado [ti, Engenharia da Computação, Análise de Dados] Indorama;IEL /SP - Inova Talentos;Júnior/ Trainee;Publicada em 24/09/2024;a combinar;Todo o Brasil;Temporário;; O INOVA Talentos é um programa que visa ampliar o número de profissionais qualificados em atividades de inovação no setor empresarial brasileiro.  Estimular a indústria brasileira a manter-se competitiva, diversificada e inovadora é o caminho para o desenvolvimento sustentado do país. O Programa INOVA Talentos foi idealizado sobre esses conceitos, com o objetivo de incentivar a criação de projetos de inovação nas empresas e institutos privados de pesquisa e desenvolvimento (P&D). A ideia é simples: selecionar, capacitar e inserir no mercado profissionais para exercerem atividades de inovação.  http://www.portaldaindustria.com.br/inovatalentos;
Bolsista Mestre [ciência de Dados, Engenharia da Computação, Ti, Correlatas] Thyssenkrupp;IEL /SP - Inova Talentos;Júnior/ Trainee;Publicada em 22/08/2024;a combinar;Todo o Brasil;Temporário;; O INOVA Talentos é um programa que visa ampliar o número de profissionais qualificados em atividades de inovação no setor empresarial brasileiro.  Estimular a indústria brasileira a manter-se competitiva, diversificada e inovadora é o caminho para o desenvolvimento sustentado do país. O Programa INOVA Talentos foi idealizado sobre esses conceitos, com o objetivo de incentivar a criação de projetos de inovação nas empresas e institutos privados de pesquisa e desenvolvimento (P&D). A ideia é simples: selecionar, capacitar e inserir no mercado profissionais para exercerem atividades de inovação.  http://www.portaldaindustria.com.br/inovatalentos;
Engenheiro/Engenheira Confiabil Integridade Sr;BP BUNGE BIOENERGIA;Supervisão/ Coordenação;Publicada em 25/09/2024;a combinar;Ouroeste;Regime CLT;Assistência médica + Assistência odontológica + Participação nos Lucros ou Resultados;Principais Responsabilidades:   Requisitos Necessários:  Requisitos Desejáveis: ;SOMAMOS FORÇAS PARA MOVIMENTAR O MUNDO Somos a BP Bunge Bioenergia, uma empresa jovem, criada em dezembro de 2019 a partir da união dos negócios de bioenergia e açúcar dos grupos BP e Bunge no país. Nascemos grandes não apenas em dimensão, mas também em propósito. Somos destaque em bioenergia, atuamos na transição energética e alimentamos o mundo com o açúcar brasileiro. Estamos entre as maiores empresas do nosso setor, e nos orgulhamos muito do nosso time, os mais de 8 mil colaboradores e 6 mil parceiros, entre profissionais indiretos e fornecedores, que somam ainda mais energia para movimentar nosso dia a dia. Temos um modelo de negócio integrado. Estamos em todo o processo produtivo e venda de bioenergia e açúcar a partir da cana-de-açúcar. Trabalhamos sempre comprometidos com a segurança, ética e sustentabilidade. Estamos construindo uma nova história e formando, a cada dia, uma cultura forte, que reflete como as nossas atitudes de hoje são fundamentais para um futuro sustentável.
Estágio em Engenharia;Belgo Arames;Estágio;Publicada há 7 dias;a combinar;Minas Gerais;Estágio;Auxílio academia + Café da manhã + Restaurante interno;"Auxiliar no acompanhamento dos dados de Produção, de estoque de materiais, de geração e venda de sucata e produtos não-conforme, consolidando e padronizando dados e comunicação entre áreas, para que o processo de produção transcorra com segurança, qualidade e volume. Graduação em Engenharia em andamento;  Conhecimento de informática e pacote Office - nível intermediário.";Sobre nós!  Produzimos soluções em arames para proporcionar às pessoas um dia a dia cada vez melhor. Buscamos pessoas que gostem de expor suas ideias e opiniões, e desejem atuar em um local de inovação.Tecnologia de ponta está em nosso pilar, pois nascemos da parceria estratégica no Brasil entre a ArcelorMittal, uma das maiores produtoras de aço do mundo, e a Bekaert, maior fabricante mundial de arames. Graças ao sucesso desta parceria, nos tornamos, ao longo de mais de 4 décadas de existência, referência no mercado brasileiro de arames.  Nossos 3.400 empregados que se movem guiados pelo nosso propósito: Gente criando uma vida melhor.  Temos orgulho de ver nossos produtos presentes no dia a dia de todos os brasileiros. Da mola de colchão, à extração de petróleo, de obras de infraestrutura ao agronegócio, da lã de aço ao aro da bicicleta. Nossa marca tem por trás gente, tecnologia e inovação.  Somos uma empresa que acolhe as diferenças e promove oportunidades de crescimento para todos, num ambiente inovador, inclusivo e que permite que às pessoas desenvolverem plenamente todo seu potencial. Nossas vagas são para todas as pessoas.  As decisões são tomadas com base em quatro pilares estratégicos: Gente, Cliente, Inovação e Sustentabilidade. Em cada um deles, temos ambições que guiam nossas ações e promovem o alinhamento em toda a empresa.  Temos 9 unidades responsáveis por desenvolver e produzir soluções inovadores no mercado de arames.Conheça mais sobre nós em nossas redes sociais!
