nome_vaga;empresa;id;nivel_experiencia;data_publicacao;faixa_salario;localizacao;modelo_contrato;beneficios;descricao_vaga
Engenheiro de Dados Sr;Icatu Seguros;1;Sênior;Publicada em 31/07/2024;a combinar;Rio de Janeiro;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio creche, Auxílio farmácia, Café da manhã;"Formação acadêmica: • Nível superior completo em ciências da computação, análise de sistemas ou tecnologia da informação.  Requisitos: • Conhecimento de arquitetura de analytics em nuvem da Microsoft; • Desenvolvimento em sql; phyton e/ou spark de notebooks; • Conhecimento de Engenharia de Dados; • Desejável: Conhecimento de Databricks; • Conhecimento de ferramentas de Big Data e experiência com Data Lake serão considerados como diferenciais;  Resumo das atribuições do cargo: • Ingestão de dados para datalake; • Entregar dados para consumo nos projetos; • Desenvolvimento em sql;   Pacote de Benefícios: • Assistência médica • Assistência odontológica • Vale-alimentação • 13ª cesta no natal • Vale-refeição • Vale-transporte • Auxílio creche ou babá • Convênio Farmácia • Serviço de Assistência Funeral • Seguro de vida • Apoio Pass (Aconselhamento Psicológico, Financeiro, Jurídico e Social) • Seguro Complementar de Acidentes Pessoais • Boas-Vindas aos recém nascidos com um plano de previdência e um presente especial • Vacinação contra Gripe • Previdência privada (Fundo de Pensão e Previd Aberta PGBL/VGBL) • Bônus de curto prazo (PLR) • Auxílio academia – Gympass • Fretado para pontos estratégicos • Café da manhã • Cesta de Natal • Consignado • Convênio com empresas parceiras • Desconto em produtos • Horário flexível • Programa de treinamentos • Espaço de convivência • Restaurante interno  Local de Trabalho • AQWA Corporate - Porto Maravilha - RJ."
Engenheiro de Dados;A.C.Camargo Cancer Center;2;Sênior;Publicada em 16/08/2024;a combinar;São Paulo;Regime CLT;Assistência médica, Assistência odontológica, Vale-alimentação, Vale-refeição, Vale-transporte;Você será responsável por:  Extrair informações de várias fontes, como bancos de dados, APIs e arquivos. Garantir que os dados brutos sejam adquiridos de maneira confiável das fontes de dados. Remover dados ausentes, duplicados ou inconsistentes - data mining. Transformar os dados para torná-los adequados para análises e consumidores de dados. Criar esquemas de banco de dados e definir relacionamentos entre tabelas. Garantir que os dados sejam armazenados de forma eficiente. Criar fluxos automatizados para processar, transformar e carregar dados. Usar a nuvem analítica (Azure) e suas funcionalidades para melhorar o processo. Escrever consultas SQL eficientes para recuperar informações específicas. Indexar tabelas para melhorar o desempenho. Criar gráficos, dashboards e relatórios para comunicar insights. Favorecer ferramentas de inteligência de negócios (Power BI). Monitorar pipelines para garantir que estejam funcionando corretamente. Realizar manutenção preventiva e corretiva. Gerenciar projetos e iniciativas e conjunto e individualmente. Executar atividades rotineiras requisitadas ao time. Organizar a priorização das atividades. Favorecer a governança de dados (Purview) Conhecer os aspectos e impactos ambientais significativos, perigos e riscos não aceitáveis da sua área. Atuar na mitigação dos acidentes ambientais e de saúde e segurança. Atuar conforme política de segurança institucional do paciente.    O que você precisa ter:  Educação Superior completa - Engenharia, Tecnologia da Informação, Análise de Sistemas, Ciência da Computação, Vivencia com as atividades.  Sua jornada de trabalho será:  SEG.SEX/220H - 08:00 ás 18:00 / SEX 08:00 ás 17:00  Seu local de trabalho será:  Unidade Liberdade  Quais são os benefícios?  Assistência Médica Assistência Odontológica Previdência Privada Vale-transporte Vale-refeição e Vale-alimentação Day off de aniversário Auxílio Creche Seguro de Vida Gympass Convênio Farmácia.  #vemproACCamargo 
Engenheiro de Dados Jr.;Icatu Seguros;3;Júnior/ Trainee;Publicada ontem;a combinar;Rio de Janeiro;Regime CLT;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio creche, Auxílio farmácia, Café da manhã;"Formação acadêmica: • Nível superior completo em ciências da computação, análise de sistemas ou ciências exatas.  Requisitos: • Conhecimento de Data Warehouse, ELT, Power Center e SQL;  Resumo das atribuições do cargo: Elaboração/manutenção de mapas através do Power Center, para atividades ligadas a Data Warehouse; Atividades de Engenharia de Dados;   Pacote de Benefícios: • Assistência médica • Assistência odontológica • Vale-alimentação • 13ª cesta no natal • Vale-refeição • Vale-transporte • Auxílio creche ou babá • Convênio Farmácia • Serviço de Assistência Funeral • Seguro de vida • Apoio Pass (Aconselhamento Psicológico, Financeiro, Jurídico e Social) • Seguro Complementar de Acidentes Pessoais • Boas-Vindas aos recém nascidos com um plano de previdência e um presente especial • Vacinação contra Gripe • Previdência privada (Fundo de Pensão e Previd Aberta PGBL/VGBL) • Bônus de curto prazo (PLR) • Auxílio academia – Gympass • Fretado para pontos estratégicos • Café da manhã • Cesta de Natal • Consignado • Convênio com empresas parceiras • Desconto em produtos • Horário flexível • Programa de treinamentos • Espaço de convivência • Restaurante interno  Local de Trabalho • AQWA Corporate - Porto Maravilha - RJ."
Analista de Engenharia de Dados II;Grupo Fleury;4;Pleno;Publicada em 30/09/2024;a combinar;100% Home Office;Regime CLT;; O Grupo Fleury é uma das maiores e mais respeitadas instituições de medicina e saúde do Brasil. Referência por sua excelência técnica, médica e de atendimento, é também destaque nas melhores práticas ESG. Além dos serviços de medicina diagnóstica, o Grupo Fleury conta com uma oferta crescente de serviços que buscam responder às necessidades das pessoas, além de gerar sustentabilidade para o sistema de saúde com a melhor utilização dos recursos investidos. Essas soluções refletem o posicionamento estratégico da empresa de ser um ecossistema de saúde integrada, preventiva e híbrida, combinando ofertas físicas e digitais. Acreditamos que carreira e propósito caminham juntos, e costumamos falar que somos apaixonados pelas pessoas e pelo que fazemos. Isso reflete em nosso dia a dia, por meio de um trabalho que impacta vidas. Faz parte da nossa essência cuidar das pessoas, colocando as colaboradoras, colaboradores, médicas, médicos e clientes sempre no centro. Se você tem atitude positiva, empatia, adaptabilidade e deseja se desenvolver em um ambiente repleto de profissionais referências no mercado que prezam por respeito, excelência e inovação, abrace a oportunidade de levar saúde e bem-estar para a plena realização das pessoas! Venha transformar sua paixão em carreira!
Bolsista Graduado [ti, Engenharia da Computação, Análise de Dados] Indorama;IEL /SP - Inova Talentos;5;Júnior/ Trainee;Publicada em 24/09/2024;a combinar;Todo o Brasil;Temporário;; O INOVA Talentos é um programa que visa ampliar o número de profissionais qualificados em atividades de inovação no setor empresarial brasileiro.  Estimular a indústria brasileira a manter-se competitiva, diversificada e inovadora é o caminho para o desenvolvimento sustentado do país. O Programa INOVA Talentos foi idealizado sobre esses conceitos, com o objetivo de incentivar a criação de projetos de inovação nas empresas e institutos privados de pesquisa e desenvolvimento (P&D). A ideia é simples: selecionar, capacitar e inserir no mercado profissionais para exercerem atividades de inovação.  http://www.portaldaindustria.com.br/inovatalentos
Estágio em Engenharia;Belgo Arames;6;Estágio;Publicada em 02/10/2024;a combinar;Minas Gerais;Estágio;Auxílio academia, Café da manhã, Restaurante interno;"Auxiliar no acompanhamento dos dados de Produção, de estoque de materiais, de geração e venda de sucata e produtos não-conforme, consolidando e padronizando dados e comunicação entre áreas, para que o processo de produção transcorra com segurança, qualidade e volume. Graduação em Engenharia em andamento;  Conhecimento de informática e pacote Office - nível intermediário."
Engenheiro Mecânico Jr.;REFIT;7;Júnior/ Trainee;Publicada em 25/09/2024;a combinar;Rio de Janeiro;Regime CLT;Assistência médica, Assistência odontológica, Restaurante interno, Seguro de vida, Vale-alimentação, Vale-transporte;Dimensionar e especificar materiais e equipamentos mecânicos. Gerenciar a carteira de projetos atribuída, oferecendo suporte às demais disciplinas. Acompanhar obras em campo, atuando como ponto focal para a disciplina. Realizar levantamentos de campo para embasamento de projetos. Avaliar projetos elaborados pelos projetistas. Realizar visitas técnicas e reuniões, esclarecendo dúvidas e registrando informações relevantes sobre documentos a serem enviados aos fornecedores. Oferecer suporte técnico aos projetistas e desenhistas na interpretação de dados e desenhos do sistema, e auxiliar o setor de compras no desenvolvimento de fornecedores e aquisição de itens específicos. Desenvolver projetos e elaborar documentação técnica de engenharia, como folhas de dados, listas de materiais e relatórios diários de obras. Garantir a segurança, limpeza e organização do ambiente de trabalho, mantendo um local adequado para arquivamento de processos e documentos nos sistemas da empresa. Prestar suporte técnico ao time de manutenção industrial para resolução de dúvidas.   Necessário disponibilidade para viagens Conhecimento sobre manutenção de equipamentos dinâmicos e estáticos 
Engenheiro(a) de P&d;Mineração Taboca S/A;8;Sênior;Publicada em 11/10/2024;a combinar;Barueri;Regime CLT;Assistência médica, Assistência odontológica, Auxílio estacionamento, Consignado, Horário flexível, Participação nos Lucros ou Resultados;"Responsável pela pesquisa e desenvolvimento de rotas tecnológicas para beneficiamento mineral; Diligenciar trabalhos em conjunto com centros de pesquisas no Brasil e no mundo; Realizar balanço de massa de sólidos e líquidos; Analisar dados, bem como sua validade estatística; Planejar e acompanhar testes nas unidades ou em centros de pesquisas; Construir relatórios e gráficos de acompanhamento de resultados; Construir materiais de avaliação de testes para reuniões de follow-ups; Buscar inovações e realizar benchmark competitivo; Identificar oportunidades para melhorar processos existentes e implementar novas tecnologias.  Requisitos indispensáveis: Experiência em atividades de Beneficiamento Mineral, principalmente beneficiamento de minerais não ferrosos;  Conhecimento em técnicas e processos de beneficiamento mineral, como moagem, flotação, separação magnética, etc.  Inglês - Nível Intermediário Formação Acadêmica: Engenharia Metalúrgica, Engenharia de Minas, Engenharia Químico e Engenharia de Materiais.  Conhecimentos: Experiência sólida em ferramentas de análise de KPI e interpretação de dados (como Excel, Power BI, Tableau, Minitab).  "
Estágio em Engenharia;Huawei;9;Estágio;Publicada em 03/10/2024;R$ 1.800 a R$ 2.000;São Paulo;Estágio;Assistência médica, Assistência odontológica, Auxílio academia, Auxílio combustível, Auxílio fretado, Ginástica laboral;Responsabilidades:   Requisitos: Inglês - Nível Fluente, Inglês - Nível Avançado e Inglês - Nível Intermediário
Auxiliar de Engenharia;TSEA energia;10;Júnior/ Trainee;Publicada em 10/10/2024;a combinar;Contagem;Regime CLT;Assistência médica, Auxílio academia, Participação nos Lucros ou Resultados, Restaurante interno, Vale-transporte;" Responsabilidades: - Estudo de reguladores de tensão monofásicos, análise de especificações técnicas; - Confecção de cálculos de reguladores de tensão monofásicos; - Elaboração de custo de materiais e acessórios, mão de obra de ensaios no equipamento; - Elaboração de desenhos e folhas de dados técnicos.  Requisitos: - Cursando ou concluído curso de engenharia elétrica; - Conhecimento com especificações técnicas e interpretação; - Pacote office.    "
